split,test_sample_index,row_index,file_name,true_label_name,predicted_label_name,prediction_correct,technique_match_score,classifier_confidence,head_stability_score,front_foot_commitment_score,lead_elbow_score,knee_bend_score,weight_transfer_score,follow_through_score,rotation_score,balance_score,weakest_component,primary_recommendation,deviation_summary
test,0,37,defensive_shot_good_06.mov,defensive_shot,defensive_shot,True,69.9773,0.8433389067649841,29.9934,89.7184,100.0,86.0687,50.0,100.0,45.7468,56.9414,head_stability_score,Prioritize head stability; it is the weakest measured component.,"hip_rotation_velocity (max_abs) is above the template range [4.6725, 9.0909] with value 24.9713. | body_center_offset_x (range) is above the template range [0.1679, 0.2471] with value 0.4503. | upper_body_balance_offset (abs_mean) is above the template range [0.1026, 0.1127] with value 0.1785. | head_to_lead_knee_alignment (abs_mean) is above the template range [0.1450, 0.1886] with value 0.2594. | hip_rotation_angle (range) is above the template range [15.6290, 41.2275] with value 64.5254."
test,1,23,defensive_shot_average_04.mov,defensive_shot,defensive_shot,True,81.2516,0.7108601927757263,55.0078,87.7112,98.3843,81.2543,85.2684,80.1522,92.7259,70.5142,head_stability_score,Prioritize head stability; it is the weakest measured component.,"head_to_lead_knee_alignment (abs_mean) is above the template range [0.1450, 0.1886] with value 0.2689. | stance_width (mean) is above the template range [0.2637, 0.3770] with value 0.4803. | upper_body_balance_offset (abs_mean) is above the template range [0.1026, 0.1127] with value 0.1214. | bat_side_wrist_height_signal (final_mean) is below the template range [-0.5923, -0.3080] with value -0.8234. | trail_knee_angle (mean) is below the template range [130.9409, 145.0341] with value 120.3735."
test,2,44,pull_shot_average_05.mov,pull_shot,pull_shot,True,93.8226,0.7490328550338745,100.0,93.6005,94.6905,95.7723,97.4664,81.3037,100.0,87.3499,follow_through_score,Prioritize follow through; it is the weakest measured component.,"follow_through_extension_signal (final_mean) is above the template range [0.9250, 1.4792] with value 2.0124. | body_center_offset_y (abs_mean) is below the template range [0.3678, 0.4266] with value 0.3232. | front_foot_commitment_signal (final_mean) is below the template range [-0.3360, -0.0729] with value -0.4034. | lead_elbow_extension_signal (final_mean) is above the template range [0.4650, 0.6911] with value 0.7392. | trail_knee_angle (mean) is below the template range [123.8286, 133.5138] with value 122.1907."
test,3,72,sweep_shot_good_01.mov,sweep_shot,sweep_shot,True,91.2192,0.98513662815094,98.3364,76.1936,96.4309,67.6469,100.0,100.0,91.8474,96.3356,knee_bend_score,Prioritize knee bend; it is the weakest measured component.,"trail_knee_angle (mean) is above the template range [108.0321, 127.2931] with value 152.2191. | front_foot_commitment_signal (final_mean) is above the template range [-0.1534, -0.0382] with value 0.0714. | shoulder_hip_separation (mean) is below the template range [-8.9484, -2.1670] with value -12.2655. | stance_width (mean) is above the template range [0.2297, 0.3555] with value 0.3832. | lead_elbow_angle (mean) is above the template range [116.5356, 130.1783] with value 131.6323."
test,4,40,pull_shot_average_01.mov,pull_shot,pull_shot,True,97.0846,0.9949211478233336,100.0,100.0,100.0,100.0,93.8516,90.6086,94.2515,98.8853,follow_through_score,Maintain current movement pattern; v1 component scores are consistently strong.,"follow_through_extension_signal (final_mean) is above the template range [0.9250, 1.4792] with value 1.7915. | weight_transfer_signal (final_mean) is below the template range [-0.0126, -0.0000] with value -0.0157. | hip_rotation_angle (range) is below the template range [89.9473, 287.9422] with value 47.3191. | hip_rotation_velocity (max_abs) is below the template range [28.6111, 165.2000] with value 10.9079. | body_center_offset_y (abs_mean) is above the template range [0.3678, 0.4266] with value 0.4305."
test,5,56,pull_shot_good_05.mov,pull_shot,defensive_shot,False,53.6322,0.467300534248352,0.0,83.3448,88.0168,81.2288,0.0,95.2942,33.3333,50.9999,head_stability_score,Prioritize head stability; it is the weakest measured component.,"hip_rotation_angle (range) is above the template range [15.6290, 41.2275] with value 106.9071. | hip_rotation_velocity (max_abs) is above the template range [4.6725, 9.0909] with value 62.3356. | body_center_offset_x (range) is above the template range [0.1679, 0.2471] with value 0.7086. | head_to_lead_knee_alignment (abs_mean) is above the template range [0.1450, 0.1886] with value 0.2962. | head_over_base_offset (abs_mean) is above the template range [0.1689, 0.2088] with value 0.3090."
test,6,67,sweep_shot_average_08.mov,sweep_shot,sweep_shot,True,87.4476,0.9288209080696106,100.0,52.6992,100.0,91.8891,65.7902,100.0,100.0,85.4424,front_foot_commitment_score,Prioritize front foot commitment; it is the weakest measured component.,"front_foot_commitment_signal (final_mean) is below the template range [-0.1534, -0.0382] with value -0.3712. | weight_transfer_signal (final_mean) is above the template range [-0.0032, 0.0037] with value 0.0125. | stance_width (mean) is above the template range [0.2297, 0.3555] with value 0.4655. | trail_knee_angle (mean) is below the template range [108.0321, 127.2931] with value 102.8147. | body_center_offset_x (range) is above the template range [0.3135, 0.5038] with value 0.5245."
test,7,13,cover_drive_good_02.mov,cover_drive,sweep_shot,False,71.9494,0.6302573680877686,82.5633,50.0,78.8477,80.7983,75.4616,100.0,25.4884,75.7589,rotation_score,Prioritize rotation; it is the weakest measured component.,"hip_rotation_angle (range) is above the template range [35.0919, 80.4119] with value 175.6087. | front_foot_commitment_signal (final_mean) is above the template range [-0.1534, -0.0382] with value 0.3556. | hip_rotation_velocity (max_abs) is above the template range [13.2043, 46.9580] with value 114.2077. | body_center_offset_x (range) is above the template range [0.3135, 0.5038] with value 0.6880. | stance_width (mean) is above the template range [0.2297, 0.3555] with value 0.4708."
test,8,69,sweep_shot_bad_02.mov,sweep_shot,pull_shot,False,88.2129,0.988636553287506,94.8591,100.0,100.0,60.8789,100.0,77.3839,95.8245,72.945,knee_bend_score,Prioritize knee bend; it is the weakest measured component.,"body_center_offset_y (abs_mean) is below the template range [0.3678, 0.4266] with value 0.2725. | trail_knee_angle (mean) is below the template range [123.8286, 133.5138] with value 116.1362. | lead_knee_angle (mean) is below the template range [113.6708, 126.6918] with value 103.6367. | bat_side_wrist_height_signal (final_mean) is below the template range [-0.4778, -0.0763] with value -0.7499. | follow_through_height_signal (final_mean) is below the template range [-0.5194, -0.1161] with value -0.6956."
test,9,33,defensive_shot_good_02.mov,defensive_shot,sweep_shot,False,93.9159,0.6852043867111206,100.0,100.0,100.0,77.0513,86.6308,100.0,89.099,97.1588,knee_bend_score,Prioritize knee bend; it is the weakest measured component.,"trail_knee_angle (mean) is above the template range [108.0321, 127.2931] with value 144.5362. | hip_rotation_angle (range) is below the template range [35.0919, 80.4119] with value 13.2449. | weight_transfer_signal (final_mean) is below the template range [-0.0032, 0.0037] with value -0.0059. | hip_rotation_velocity (max_abs) is below the template range [13.2043, 46.9580] with value 7.3987. | stance_width (mean) is below the template range [0.2297, 0.3555] with value 0.2083."
