epoch,training_loss,validation_loss,training_accuracy,validation_accuracy,validation_macro_f1,learning_rate,epoch_duration,best_checkpoint
1,1.4099352189472742,1.359560489654541,0.30357142857142855,0.3333333333333333,0.23376623376623376,0.001,0.2721061706542969,True
2,1.333944627216884,1.3063849210739136,0.4642857142857143,0.3333333333333333,0.28869047619047616,0.001,0.26900696754455566,True
3,1.2401191677365984,1.190251350402832,0.6964285714285714,0.4166666666666667,0.3571428571428571,0.001,0.2644190788269043,True
4,1.0187840035983495,1.0875431696573894,0.6607142857142857,0.4166666666666667,0.4375,0.001,0.27156710624694824,True
5,0.844955997807639,0.8761193752288818,0.6428571428571429,0.5833333333333334,0.5916666666666667,0.001,0.2718222141265869,True
6,0.5657615384885243,1.5595791538556416,0.8392857142857143,0.5,0.503968253968254,0.001,0.27370595932006836,False
7,0.5024993909256799,1.4270930290222168,0.8035714285714286,0.4166666666666667,0.39642857142857146,0.001,0.27356505393981934,False
8,0.4044017366000584,1.0297020276387532,0.8392857142857143,0.6666666666666666,0.6541666666666667,0.001,0.2688300609588623,True
9,0.32812401758772985,1.4469105799992878,0.8928571428571429,0.4166666666666667,0.4214285714285714,0.001,0.3023543357849121,False
10,0.32234530576637815,1.3445547421773274,0.875,0.5,0.4916666666666667,0.001,0.3687469959259033,False
11,0.2250444223838193,1.7295445601145427,0.9285714285714286,0.4166666666666667,0.43253968253968256,0.001,0.3709688186645508,False
12,0.34195467829704285,1.2926632165908813,0.9107142857142857,0.6666666666666666,0.6571428571428571,0.001,0.3562779426574707,True
13,0.2504134223397289,1.8144764105478923,0.9285714285714286,0.4166666666666667,0.375,0.001,0.3535311222076416,False
14,0.12221012477363859,1.487700621287028,0.9821428571428571,0.5833333333333334,0.5333333333333333,0.001,0.37673401832580566,False
15,0.11164527679128307,1.6552359263102214,0.9642857142857143,0.5833333333333334,0.5333333333333333,0.001,0.3819580078125,False
16,0.09017618133553437,2.1194281578063965,0.9642857142857143,0.5,0.48333333333333334,0.001,0.37448906898498535,False
17,0.06925259051578385,2.315494934717814,0.9821428571428571,0.5833333333333334,0.575,0.0005,0.44838380813598633,False
18,0.061776497933481424,1.7730450630187988,0.9821428571428571,0.5833333333333334,0.5583333333333333,0.0005,0.4943249225616455,False
19,0.061128298485917706,1.8370571931203206,0.9821428571428571,0.5833333333333334,0.5583333333333333,0.0005,0.35931992530822754,False
20,0.05448289228869336,1.9137076536814372,0.9821428571428571,0.5833333333333334,0.5583333333333333,0.0005,0.37317919731140137,False
21,0.04823174034910543,1.9959840774536133,0.9821428571428571,0.5833333333333334,0.5583333333333333,0.0005,0.4491288661956787,False
22,0.045149082983178754,2.0409340063730874,0.9821428571428571,0.5833333333333334,0.5583333333333333,0.00025,0.5212740898132324,False
23,0.03887737968138286,2.0387534300486245,0.9821428571428571,0.5833333333333334,0.5583333333333333,0.00025,0.40779685974121094,False
24,0.037868051789700985,2.0509417057037354,0.9821428571428571,0.5833333333333334,0.5583333333333333,0.00025,0.40175890922546387,False
