sample_index,row_index,video_id,file_name,shot_label,segment_detected,start_frame,end_frame,peak_frame,prediction_trigger_frame,trigger_count,completion_reason,max_energy,mean_energy
0,0,001,cover_drive_average_01.mov,cover_drive,True,9,59,24,59,1,sequence_end_completion,0.899386055196655,0.4490837577966864
1,1,002,cover_drive_average_02.mov,cover_drive,True,8,59,22,59,1,sequence_end_completion,0.8470233183807223,0.4370136147958922
2,2,003,cover_drive_average_03.mov,cover_drive,True,25,59,30,59,1,sequence_end_completion,0.9391725429438909,0.263769788657506
3,3,004,cover_drive_average_04.mov,cover_drive,True,20,59,25,59,1,sequence_end_completion,0.8005853911039227,0.260570200538942
4,4,005,cover_drive_average_05.mov,cover_drive,True,15,59,30,59,1,sequence_end_completion,0.8052753912063231,0.34540158956095895
5,5,006,cover_drive_average_06.mov,cover_drive,True,21,58,30,58,1,state_machine_completed,0.8832118431714604,0.2898801778200906
6,6,007,cover_drive_average_07.mov,cover_drive,True,18,54,25,54,1,state_machine_completed,0.9714078238887377,0.2766659850367808
7,7,008,cover_drive_average_08.mov,cover_drive,True,19,59,25,59,1,sequence_end_completion,0.9124394209634965,0.3229034184662091
8,8,009,cover_drive_bad_01.mov,cover_drive,True,9,59,31,59,1,sequence_end_completion,0.8345889733501497,0.41133858792701067
9,9,010,cover_drive_bad_02.mov,cover_drive,True,25,59,29,59,1,sequence_end_completion,0.878417577256405,0.23179867033082152
10,10,011,cover_drive_bad_03.mov,cover_drive,True,15,59,23,59,1,sequence_end_completion,0.970241005921721,0.32656636111515536
11,11,012,cover_drive_bad_04.mov,cover_drive,True,22,59,37,59,1,sequence_end_completion,0.7985750166612762,0.35464906184663914
12,12,013,cover_drive_good_01.mov,cover_drive,True,18,56,26,56,1,state_machine_completed,0.7955934374064,0.3267733431845491
13,13,014,cover_drive_good_02.mov,cover_drive,True,20,57,25,57,1,state_machine_completed,0.9574729039565633,0.3053289923753563
14,14,015,cover_drive_good_03.mov,cover_drive,True,23,59,31,59,1,sequence_end_completion,0.839271862874631,0.2560331693861465
15,15,016,cover_drive_good_04.mov,cover_drive,True,17,59,28,59,1,sequence_end_completion,0.8307000868435561,0.32544446757015166
16,16,017,cover_drive_good_05.mov,cover_drive,True,4,57,32,57,1,state_machine_completed,0.6267547896281804,0.2733531119251024
17,17,018,cover_drive_good_06.mov,cover_drive,True,24,59,33,59,1,sequence_end_completion,0.8989825942687975,0.32765923407617337
18,18,019,cover_drive_good_07.mov,cover_drive,True,18,50,26,50,1,state_machine_completed,0.9952398644670439,0.30258183272854455
19,19,020,cover_drive_good_08.mov,cover_drive,True,16,59,30,59,1,sequence_end_completion,0.7227689296622186,0.3545094742303968
20,20,021,defensive_shot_average_01.mov,defensive_shot,True,3,59,30,59,1,sequence_end_completion,0.7195478158913495,0.36613790266391477
21,21,022,defensive_shot_average_02.mov,defensive_shot,True,45,17,31,17,1,state_machine_completed,0.8347759284406,0.44118441218487464
22,22,023,defensive_shot_average_03.mov,defensive_shot,True,20,59,39,59,1,sequence_end_completion,0.9285738273958073,0.3993413584263699
23,23,024,defensive_shot_average_04.mov,defensive_shot,True,21,59,38,59,1,sequence_end_completion,0.744418674954035,0.2513998202578041
24,24,025,defensive_shot_average_05.mov,defensive_shot,True,16,59,45,59,1,sequence_end_completion,0.8612659186108697,0.41363955261909485
25,25,026,defensive_shot_average_06.mov,defensive_shot,True,19,59,28,59,1,sequence_end_completion,0.887003514027125,0.33212842961378536
26,26,027,defensive_shot_average_07.mov,defensive_shot,True,18,59,27,59,1,sequence_end_completion,0.9317270185876617,0.40796519378899254
27,27,028,defensive_shot_average_08.mov,defensive_shot,True,16,59,26,59,1,sequence_end_completion,0.8479219458403269,0.4096713423685771
28,28,029,defensive_shot_bad_01.mov,defensive_shot,True,9,18,30,18,1,state_machine_completed,0.8913174812062108,0.3519553472358953
29,29,030,defensive_shot_bad_02.mov,defensive_shot,True,23,59,29,59,1,sequence_end_completion,0.7334157664095401,0.26164051907597163
30,30,031,defensive_shot_bad_03.mov,defensive_shot,True,15,53,23,53,1,state_machine_completed,0.8673903124278887,0.3359661747407493
31,31,032,defensive_shot_bad_04.mov,defensive_shot,True,17,59,39,59,1,sequence_end_completion,0.8645911892350848,0.432722574915527
32,32,033,defensive_shot_good_01.mov,defensive_shot,True,4,45,52,45,1,state_machine_completed,0.8466929788979874,0.43343248175844634
33,33,034,defensive_shot_good_02.mov,defensive_shot,True,6,37,28,37,1,state_machine_completed,0.8972566659680927,0.32219139340354536
34,34,035,defensive_shot_good_03.mov,defensive_shot,True,21,59,52,59,1,sequence_end_completion,0.9032765375816062,0.28282193709862385
35,35,036,defensive_shot_good_04.mov,defensive_shot,True,13,59,42,59,1,sequence_end_completion,0.6796015486414078,0.3557645355168029
36,36,037,defensive_shot_good_05.mov,defensive_shot,True,17,39,27,39,1,state_machine_completed,0.7493368152955787,0.27785553861898743
37,37,038,defensive_shot_good_06.mov,defensive_shot,True,2,59,24,59,1,sequence_end_completion,0.8090765444573644,0.37966390040324194
38,38,039,defensive_shot_good_07.mov,defensive_shot,True,5,59,24,59,1,sequence_end_completion,0.7521805833494308,0.37569963579780363
39,39,040,defensive_shot_good_08.mov,defensive_shot,True,17,59,22,59,1,sequence_end_completion,0.7966522269818073,0.35783500147711345
40,40,045,pull_shot_average_01.mov,pull_shot,True,13,59,30,59,1,sequence_end_completion,0.8541291459301262,0.3639975143962525
41,41,046,pull_shot_average_02.mov,pull_shot,True,3,59,31,59,1,sequence_end_completion,0.88398753619321,0.3985237254044576
42,42,047,pull_shot_average_03.mov,pull_shot,True,24,59,39,59,1,sequence_end_completion,0.6813226310898187,0.25876340352129495
43,43,048,pull_shot_average_04.mov,pull_shot,True,25,57,35,57,1,state_machine_completed,0.7480013704563495,0.22884394717192358
44,44,049,pull_shot_average_05.mov,pull_shot,True,26,59,43,59,1,sequence_end_completion,0.8100511097995202,0.3383994587016593
45,45,050,pull_shot_average_06.mov,pull_shot,True,30,59,34,59,1,sequence_end_completion,0.7458310299641513,0.31273702262769204
46,46,051,pull_shot_average_07.mov,pull_shot,True,14,59,27,59,1,sequence_end_completion,0.686326999797818,0.3655276341603532
47,47,052,pull_shot_average_08.mov,pull_shot,True,27,59,40,59,1,sequence_end_completion,0.823026262333685,0.29370810805051306
48,48,053,pull_shot_bad_01.mov,pull_shot,True,5,59,52,59,1,sequence_end_completion,0.8248427034638561,0.4054513656401198
49,49,054,pull_shot_bad_02.mov,pull_shot,True,23,59,40,59,1,sequence_end_completion,0.9103318190588061,0.27075211777122876
50,50,055,pull_shot_bad_03.mov,pull_shot,True,23,59,32,59,1,sequence_end_completion,0.9075549764843853,0.31618137711498295
51,51,056,pull_shot_bad_04.mov,pull_shot,True,22,59,34,59,1,sequence_end_completion,0.7815660313019407,0.3427243127163281
52,52,057,pull_shot_good_01.mov,pull_shot,True,26,59,32,59,1,sequence_end_completion,0.6878407716033498,0.24797249789359554
53,53,058,pull_shot_good_02.mov,pull_shot,True,16,59,32,59,1,sequence_end_completion,0.7982540524447801,0.3327886433159994
54,54,059,pull_shot_good_03.mov,pull_shot,True,17,59,32,59,1,sequence_end_completion,0.9233331237475546,0.3811510986315317
55,55,060,pull_shot_good_04.mov,pull_shot,True,12,59,29,59,1,sequence_end_completion,0.792403264644812,0.36409275612357195
56,56,061,pull_shot_good_05.mov,pull_shot,True,14,59,22,59,1,sequence_end_completion,0.9379767086536892,0.3499621026882177
57,57,062,pull_shot_good_06.mov,pull_shot,True,15,56,22,56,1,state_machine_completed,0.8963058507035283,0.32497281113500964
58,58,063,pull_shot_good_07.mov,pull_shot,True,24,59,39,59,1,sequence_end_completion,0.9049860207400914,0.34248196878679366
59,59,064,pull_shot_good_08.mov,pull_shot,True,25,59,32,59,1,sequence_end_completion,0.6297649268752606,0.2448709947013981
60,60,065,sweep_shot_average_01.mov,sweep_shot,True,3,59,31,59,1,sequence_end_completion,0.7830730077976304,0.43632073847552816
61,61,066,sweep_shot_average_02.mov,sweep_shot,True,2,59,32,59,1,sequence_end_completion,0.8623823634928603,0.4473818650179532
62,62,067,sweep_shot_average_03.mov,sweep_shot,True,16,59,20,59,1,sequence_end_completion,0.8189537992402295,0.46576791583088867
63,63,068,sweep_shot_average_04.mov,sweep_shot,True,16,59,25,59,1,sequence_end_completion,0.7572515180629913,0.37036623304385224
64,64,069,sweep_shot_average_05.mov,sweep_shot,True,12,59,47,59,1,sequence_end_completion,0.7958985221429953,0.33048553529124014
65,65,070,sweep_shot_average_06.mov,sweep_shot,True,11,59,23,59,1,sequence_end_completion,0.8405917181414126,0.4995234609658375
66,66,071,sweep_shot_average_07.mov,sweep_shot,True,19,59,36,59,1,state_machine_completed,0.7324621523002885,0.2882127639831433
67,67,072,sweep_shot_average_08.mov,sweep_shot,True,19,59,40,59,1,sequence_end_completion,0.7846899108950482,0.42131907490806436
68,68,073,sweep_shot_bad_01.mov,sweep_shot,True,1,59,26,59,1,sequence_end_completion,0.8526240382383301,0.4254545724850379
69,69,074,sweep_shot_bad_02.mov,sweep_shot,True,21,59,32,59,1,sequence_end_completion,0.6996512360806079,0.32746688241554717
70,70,075,sweep_shot_bad_03.mov,sweep_shot,True,2,59,19,59,1,sequence_end_completion,0.7621439223293023,0.4489264331528755
71,71,076,sweep_shot_bad_04.mov,sweep_shot,True,20,59,27,59,1,sequence_end_completion,0.8403416602859544,0.38318842576682316
