video_id,file_name,relative_path,shot_label,quality,person_id,use_for_v1
001,cover_drive_average_01.mov,cover_drive/cover_drive_average_01.mov,cover_drive,average,playerA,yes
002,cover_drive_average_02.mov,cover_drive/cover_drive_average_02.mov,cover_drive,average,playerA,yes
003,cover_drive_average_03.mov,cover_drive/cover_drive_average_03.mov,cover_drive,average,playerB,yes
004,cover_drive_average_04.mov,cover_drive/cover_drive_average_04.mov,cover_drive,average,playerB,yes
005,cover_drive_average_05.mov,cover_drive/cover_drive_average_05.mov,cover_drive,average,playerC,yes
006,cover_drive_average_06.mov,cover_drive/cover_drive_average_06.mov,cover_drive,average,playerC,yes
007,cover_drive_average_07.mov,cover_drive/cover_drive_average_07.mov,cover_drive,average,playerD,yes
008,cover_drive_average_08.mov,cover_drive/cover_drive_average_08.mov,cover_drive,average,playerD,yes
009,cover_drive_bad_01.mov,cover_drive/cover_drive_bad_01.mov,cover_drive,bad,playerA,yes
010,cover_drive_bad_02.mov,cover_drive/cover_drive_bad_02.mov,cover_drive,bad,playerB,yes
011,cover_drive_bad_03.mov,cover_drive/cover_drive_bad_03.mov,cover_drive,bad,playerC,yes
012,cover_drive_bad_04.mov,cover_drive/cover_drive_bad_04.mov,cover_drive,bad,playerD,yes
013,cover_drive_good_01.mov,cover_drive/cover_drive_good_01.mov,cover_drive,good,playerA,yes
014,cover_drive_good_02.mov,cover_drive/cover_drive_good_02.mov,cover_drive,good,playerA,yes
015,cover_drive_good_03.mov,cover_drive/cover_drive_good_03.mov,cover_drive,good,playerB,yes
016,cover_drive_good_04.mov,cover_drive/cover_drive_good_04.mov,cover_drive,good,playerB,yes
017,cover_drive_good_05.mov,cover_drive/cover_drive_good_05.mov,cover_drive,good,playerC,yes
018,cover_drive_good_06.mov,cover_drive/cover_drive_good_06.mov,cover_drive,good,playerC,yes
019,cover_drive_good_07.mov,cover_drive/cover_drive_good_07.mov,cover_drive,good,playerD,yes
020,cover_drive_good_08.mov,cover_drive/cover_drive_good_08.mov,cover_drive,good,playerD,yes
021,defensive_shot_average_01.mov,defensive_shot/defensive_shot_average_01.mov,defensive_shot,average,playerA,yes
022,defensive_shot_average_02.mov,defensive_shot/defensive_shot_average_02.mov,defensive_shot,average,playerA,yes
023,defensive_shot_average_03.mov,defensive_shot/defensive_shot_average_03.mov,defensive_shot,average,playerB,yes
024,defensive_shot_average_04.mov,defensive_shot/defensive_shot_average_04.mov,defensive_shot,average,playerB,yes
025,defensive_shot_average_05.mov,defensive_shot/defensive_shot_average_05.mov,defensive_shot,average,playerC,yes
026,defensive_shot_average_06.mov,defensive_shot/defensive_shot_average_06.mov,defensive_shot,average,playerC,yes
027,defensive_shot_average_07.mov,defensive_shot/defensive_shot_average_07.mov,defensive_shot,average,playerD,yes
028,defensive_shot_average_08.mov,defensive_shot/defensive_shot_average_08.mov,defensive_shot,average,playerD,yes
029,defensive_shot_bad_01.mov,defensive_shot/defensive_shot_bad_01.mov,defensive_shot,bad,playerA,yes
030,defensive_shot_bad_02.mov,defensive_shot/defensive_shot_bad_02.mov,defensive_shot,bad,playerB,yes
031,defensive_shot_bad_03.mov,defensive_shot/defensive_shot_bad_03.mov,defensive_shot,bad,playerC,yes
032,defensive_shot_bad_04.mov,defensive_shot/defensive_shot_bad_04.mov,defensive_shot,bad,playerD,yes
033,defensive_shot_good_01.mov,defensive_shot/defensive_shot_good_01.mov,defensive_shot,good,playerA,yes
034,defensive_shot_good_02.mov,defensive_shot/defensive_shot_good_02.mov,defensive_shot,good,playerA,yes
035,defensive_shot_good_03.mov,defensive_shot/defensive_shot_good_03.mov,defensive_shot,good,playerB,yes
036,defensive_shot_good_04.mov,defensive_shot/defensive_shot_good_04.mov,defensive_shot,good,playerB,yes
037,defensive_shot_good_05.mov,defensive_shot/defensive_shot_good_05.mov,defensive_shot,good,playerC,yes
038,defensive_shot_good_06.mov,defensive_shot/defensive_shot_good_06.mov,defensive_shot,good,playerC,yes
039,defensive_shot_good_07.mov,defensive_shot/defensive_shot_good_07.mov,defensive_shot,good,playerD,yes
040,defensive_shot_good_08.mov,defensive_shot/defensive_shot_good_08.mov,defensive_shot,good,playerD,yes
041,idle_01.mov,idle/idle_01.mov,idle,none,unknown,no
042,idle_02.mp4,idle/idle_02.mp4,idle,none,unknown,no
043,idle_03.mp4,idle/idle_03.mp4,idle,none,unknown,no
044,idle_04.mp4,idle/idle_04.mp4,idle,none,unknown,no
045,pull_shot_average_01.mov,pull_shot/pull_shot_average_01.mov,pull_shot,average,playerA,yes
046,pull_shot_average_02.mov,pull_shot/pull_shot_average_02.mov,pull_shot,average,playerA,yes
047,pull_shot_average_03.mov,pull_shot/pull_shot_average_03.mov,pull_shot,average,playerB,yes
048,pull_shot_average_04.mov,pull_shot/pull_shot_average_04.mov,pull_shot,average,playerB,yes
049,pull_shot_average_05.mov,pull_shot/pull_shot_average_05.mov,pull_shot,average,playerC,yes
050,pull_shot_average_06.mov,pull_shot/pull_shot_average_06.mov,pull_shot,average,playerC,yes
051,pull_shot_average_07.mov,pull_shot/pull_shot_average_07.mov,pull_shot,average,playerD,yes
052,pull_shot_average_08.mov,pull_shot/pull_shot_average_08.mov,pull_shot,average,playerD,yes
053,pull_shot_bad_01.mov,pull_shot/pull_shot_bad_01.mov,pull_shot,bad,playerA,yes
054,pull_shot_bad_02.mov,pull_shot/pull_shot_bad_02.mov,pull_shot,bad,playerB,yes
055,pull_shot_bad_03.mov,pull_shot/pull_shot_bad_03.mov,pull_shot,bad,playerC,yes
056,pull_shot_bad_04.mov,pull_shot/pull_shot_bad_04.mov,pull_shot,bad,playerD,yes
057,pull_shot_good_01.mov,pull_shot/pull_shot_good_01.mov,pull_shot,good,playerA,yes
058,pull_shot_good_02.mov,pull_shot/pull_shot_good_02.mov,pull_shot,good,playerA,yes
059,pull_shot_good_03.mov,pull_shot/pull_shot_good_03.mov,pull_shot,good,playerB,yes
060,pull_shot_good_04.mov,pull_shot/pull_shot_good_04.mov,pull_shot,good,playerB,yes
061,pull_shot_good_05.mov,pull_shot/pull_shot_good_05.mov,pull_shot,good,playerC,yes
062,pull_shot_good_06.mov,pull_shot/pull_shot_good_06.mov,pull_shot,good,playerC,yes
063,pull_shot_good_07.mov,pull_shot/pull_shot_good_07.mov,pull_shot,good,playerD,yes
064,pull_shot_good_08.mov,pull_shot/pull_shot_good_08.mov,pull_shot,good,playerD,yes
065,sweep_shot_average_01.mov,sweep_shot/sweep_shot_average_01.mov,sweep_shot,average,playerA,yes
066,sweep_shot_average_02.mov,sweep_shot/sweep_shot_average_02.mov,sweep_shot,average,playerA,yes
067,sweep_shot_average_03.mov,sweep_shot/sweep_shot_average_03.mov,sweep_shot,average,playerB,yes
068,sweep_shot_average_04.mov,sweep_shot/sweep_shot_average_04.mov,sweep_shot,average,playerB,yes
069,sweep_shot_average_05.mov,sweep_shot/sweep_shot_average_05.mov,sweep_shot,average,playerC,yes
070,sweep_shot_average_06.mov,sweep_shot/sweep_shot_average_06.mov,sweep_shot,average,playerC,yes
071,sweep_shot_average_07.mov,sweep_shot/sweep_shot_average_07.mov,sweep_shot,average,playerD,yes
072,sweep_shot_average_08.mov,sweep_shot/sweep_shot_average_08.mov,sweep_shot,average,playerD,yes
073,sweep_shot_bad_01.mov,sweep_shot/sweep_shot_bad_01.mov,sweep_shot,bad,playerA,yes
074,sweep_shot_bad_02.mov,sweep_shot/sweep_shot_bad_02.mov,sweep_shot,bad,playerB,yes
075,sweep_shot_bad_03.mov,sweep_shot/sweep_shot_bad_03.mov,sweep_shot,bad,playerC,yes
076,sweep_shot_bad_04.mov,sweep_shot/sweep_shot_bad_04.mov,sweep_shot,bad,playerD,yes
077,sweep_shot_good_01.mov,sweep_shot/sweep_shot_good_01.mov,sweep_shot,good,playerA,yes
078,sweep_shot_good_02.mov,sweep_shot/sweep_shot_good_02.mov,sweep_shot,good,playerA,yes
079,sweep_shot_good_03.mov,sweep_shot/sweep_shot_good_03.mov,sweep_shot,good,playerB,yes
080,sweep_shot_good_04.mov,sweep_shot/sweep_shot_good_04.mov,sweep_shot,good,playerB,yes
081,sweep_shot_good_05.mov,sweep_shot/sweep_shot_good_05.mov,sweep_shot,good,playerC,yes
082,sweep_shot_good_06.mov,sweep_shot/sweep_shot_good_06.mov,sweep_shot,good,playerC,yes
083,sweep_shot_good_07.mov,sweep_shot/sweep_shot_good_07.mov,sweep_shot,good,playerD,yes
084,sweep_shot_good_08.mov,sweep_shot/sweep_shot_good_08.mov,sweep_shot,good,playerD,yes
