row_index,sample_id,source_file,shot_label,encoded_label
0,001_cover_drive_average_01_sequence,data/processed/pose_sequences/001_cover_drive_average_01_sequence.json,cover_drive,0
1,002_cover_drive_average_02_sequence,data/processed/pose_sequences/002_cover_drive_average_02_sequence.json,cover_drive,0
2,003_cover_drive_average_03_sequence,data/processed/pose_sequences/003_cover_drive_average_03_sequence.json,cover_drive,0
3,004_cover_drive_average_04_sequence,data/processed/pose_sequences/004_cover_drive_average_04_sequence.json,cover_drive,0
4,005_cover_drive_average_05_sequence,data/processed/pose_sequences/005_cover_drive_average_05_sequence.json,cover_drive,0
5,006_cover_drive_average_06_sequence,data/processed/pose_sequences/006_cover_drive_average_06_sequence.json,cover_drive,0
6,007_cover_drive_average_07_sequence,data/processed/pose_sequences/007_cover_drive_average_07_sequence.json,cover_drive,0
7,008_cover_drive_average_08_sequence,data/processed/pose_sequences/008_cover_drive_average_08_sequence.json,cover_drive,0
8,009_cover_drive_bad_01_sequence,data/processed/pose_sequences/009_cover_drive_bad_01_sequence.json,cover_drive,0
9,010_cover_drive_bad_02_sequence,data/processed/pose_sequences/010_cover_drive_bad_02_sequence.json,cover_drive,0
10,011_cover_drive_bad_03_sequence,data/processed/pose_sequences/011_cover_drive_bad_03_sequence.json,cover_drive,0
11,012_cover_drive_bad_04_sequence,data/processed/pose_sequences/012_cover_drive_bad_04_sequence.json,cover_drive,0
12,013_cover_drive_good_01_sequence,data/processed/pose_sequences/013_cover_drive_good_01_sequence.json,cover_drive,0
13,014_cover_drive_good_02_sequence,data/processed/pose_sequences/014_cover_drive_good_02_sequence.json,cover_drive,0
14,015_cover_drive_good_03_sequence,data/processed/pose_sequences/015_cover_drive_good_03_sequence.json,cover_drive,0
15,016_cover_drive_good_04_sequence,data/processed/pose_sequences/016_cover_drive_good_04_sequence.json,cover_drive,0
16,017_cover_drive_good_05_sequence,data/processed/pose_sequences/017_cover_drive_good_05_sequence.json,cover_drive,0
17,018_cover_drive_good_06_sequence,data/processed/pose_sequences/018_cover_drive_good_06_sequence.json,cover_drive,0
18,019_cover_drive_good_07_sequence,data/processed/pose_sequences/019_cover_drive_good_07_sequence.json,cover_drive,0
19,020_cover_drive_good_08_sequence,data/processed/pose_sequences/020_cover_drive_good_08_sequence.json,cover_drive,0
20,021_defensive_shot_average_01_sequence,data/processed/pose_sequences/021_defensive_shot_average_01_sequence.json,defensive_shot,1
21,022_defensive_shot_average_02_sequence,data/processed/pose_sequences/022_defensive_shot_average_02_sequence.json,defensive_shot,1
22,023_defensive_shot_average_03_sequence,data/processed/pose_sequences/023_defensive_shot_average_03_sequence.json,defensive_shot,1
23,024_defensive_shot_average_04_sequence,data/processed/pose_sequences/024_defensive_shot_average_04_sequence.json,defensive_shot,1
24,025_defensive_shot_average_05_sequence,data/processed/pose_sequences/025_defensive_shot_average_05_sequence.json,defensive_shot,1
25,026_defensive_shot_average_06_sequence,data/processed/pose_sequences/026_defensive_shot_average_06_sequence.json,defensive_shot,1
26,027_defensive_shot_average_07_sequence,data/processed/pose_sequences/027_defensive_shot_average_07_sequence.json,defensive_shot,1
27,028_defensive_shot_average_08_sequence,data/processed/pose_sequences/028_defensive_shot_average_08_sequence.json,defensive_shot,1
28,029_defensive_shot_bad_01_sequence,data/processed/pose_sequences/029_defensive_shot_bad_01_sequence.json,defensive_shot,1
29,030_defensive_shot_bad_02_sequence,data/processed/pose_sequences/030_defensive_shot_bad_02_sequence.json,defensive_shot,1
30,031_defensive_shot_bad_03_sequence,data/processed/pose_sequences/031_defensive_shot_bad_03_sequence.json,defensive_shot,1
31,032_defensive_shot_bad_04_sequence,data/processed/pose_sequences/032_defensive_shot_bad_04_sequence.json,defensive_shot,1
32,033_defensive_shot_good_01_sequence,data/processed/pose_sequences/033_defensive_shot_good_01_sequence.json,defensive_shot,1
33,034_defensive_shot_good_02_sequence,data/processed/pose_sequences/034_defensive_shot_good_02_sequence.json,defensive_shot,1
34,035_defensive_shot_good_03_sequence,data/processed/pose_sequences/035_defensive_shot_good_03_sequence.json,defensive_shot,1
35,036_defensive_shot_good_04_sequence,data/processed/pose_sequences/036_defensive_shot_good_04_sequence.json,defensive_shot,1
36,037_defensive_shot_good_05_sequence,data/processed/pose_sequences/037_defensive_shot_good_05_sequence.json,defensive_shot,1
37,038_defensive_shot_good_06_sequence,data/processed/pose_sequences/038_defensive_shot_good_06_sequence.json,defensive_shot,1
38,039_defensive_shot_good_07_sequence,data/processed/pose_sequences/039_defensive_shot_good_07_sequence.json,defensive_shot,1
39,040_defensive_shot_good_08_sequence,data/processed/pose_sequences/040_defensive_shot_good_08_sequence.json,defensive_shot,1
40,045_pull_shot_average_01_sequence,data/processed/pose_sequences/045_pull_shot_average_01_sequence.json,pull_shot,2
41,046_pull_shot_average_02_sequence,data/processed/pose_sequences/046_pull_shot_average_02_sequence.json,pull_shot,2
42,047_pull_shot_average_03_sequence,data/processed/pose_sequences/047_pull_shot_average_03_sequence.json,pull_shot,2
43,048_pull_shot_average_04_sequence,data/processed/pose_sequences/048_pull_shot_average_04_sequence.json,pull_shot,2
44,049_pull_shot_average_05_sequence,data/processed/pose_sequences/049_pull_shot_average_05_sequence.json,pull_shot,2
45,050_pull_shot_average_06_sequence,data/processed/pose_sequences/050_pull_shot_average_06_sequence.json,pull_shot,2
46,051_pull_shot_average_07_sequence,data/processed/pose_sequences/051_pull_shot_average_07_sequence.json,pull_shot,2
47,052_pull_shot_average_08_sequence,data/processed/pose_sequences/052_pull_shot_average_08_sequence.json,pull_shot,2
48,053_pull_shot_bad_01_sequence,data/processed/pose_sequences/053_pull_shot_bad_01_sequence.json,pull_shot,2
49,054_pull_shot_bad_02_sequence,data/processed/pose_sequences/054_pull_shot_bad_02_sequence.json,pull_shot,2
50,055_pull_shot_bad_03_sequence,data/processed/pose_sequences/055_pull_shot_bad_03_sequence.json,pull_shot,2
51,056_pull_shot_bad_04_sequence,data/processed/pose_sequences/056_pull_shot_bad_04_sequence.json,pull_shot,2
52,057_pull_shot_good_01_sequence,data/processed/pose_sequences/057_pull_shot_good_01_sequence.json,pull_shot,2
53,058_pull_shot_good_02_sequence,data/processed/pose_sequences/058_pull_shot_good_02_sequence.json,pull_shot,2
54,059_pull_shot_good_03_sequence,data/processed/pose_sequences/059_pull_shot_good_03_sequence.json,pull_shot,2
55,060_pull_shot_good_04_sequence,data/processed/pose_sequences/060_pull_shot_good_04_sequence.json,pull_shot,2
56,061_pull_shot_good_05_sequence,data/processed/pose_sequences/061_pull_shot_good_05_sequence.json,pull_shot,2
57,062_pull_shot_good_06_sequence,data/processed/pose_sequences/062_pull_shot_good_06_sequence.json,pull_shot,2
58,063_pull_shot_good_07_sequence,data/processed/pose_sequences/063_pull_shot_good_07_sequence.json,pull_shot,2
59,064_pull_shot_good_08_sequence,data/processed/pose_sequences/064_pull_shot_good_08_sequence.json,pull_shot,2
60,065_sweep_shot_average_01_sequence,data/processed/pose_sequences/065_sweep_shot_average_01_sequence.json,sweep_shot,3
61,066_sweep_shot_average_02_sequence,data/processed/pose_sequences/066_sweep_shot_average_02_sequence.json,sweep_shot,3
62,067_sweep_shot_average_03_sequence,data/processed/pose_sequences/067_sweep_shot_average_03_sequence.json,sweep_shot,3
